Title,Year,Journal,Volume,Issue,Pages,Authors,Publisher,Abstract
Building a game scenario to encourage children with autism to recognize and label emotions using a humanoid robot,2014,"IEEE RO-MAN 2014 - 23rd IEEE International Symposium on Robot and Human Interactive Communication: Human-Robot Co-Existence: Adaptive Interfaces and Systems for Daily Life, Therapy, Assistance and Socially Engaging Interactions",,,820-825,"Costa, S. and Soares, F. and Pereira, A.P. and Santos, C. and Hiolle, A.",,"This paper presents an exploratory study in which children with autism interact with ZECA (Zeno Engaging Children with Autism). ZECA is a humanoid robot with a face covered with a material allowing the display of varied facial expressions. The study investigates a novel scenario for robot-Assisted play, to help promoting labelling of emotions by children with autism spectrum disorders (ASD). The study was performed during three sessions with two boys diagnosed with ASD. The results obtained from the analysis of the children's behaviours while interacting with ZECA helped us improve several aspects of our game scenario such as the technical specificities of the game and its dynamics, and the experimental setup. The software produced for this study allows the robot to autonomously identify the answers of the child during the session. This automatic identification helped the fluidity of the game and freed the experimenter to participate in triadic interactions with the child. The evaluation of the game scenario that will be used in a future study was the main goal of this pilot study, rather than to quantify and evaluate the performance of the children. Overall, this exploratory study in teaching children about labelling emotions using a humanoid robot embedded in a game scenario demonstrated the possible positive outcomes this child-robot interaction can produce and highlighted the issues regarding data collection and their analysis that will inform future studies. © 2014 IEEE."
A pilot study using imitation and storytelling scenarios as activities for labelling emotions by children with autism using a humanoid robot,2014,IEEE ICDL-EPIROB 2014 - 4th Joint IEEE International Conference on Development and Learning and on Epigenetic Robotics,,,299-304,"Costa, S. and Soares, F. and Pereira, A.P. and Santos, C. and Hiolle, A.",,"In this paper we present a child-robot interaction pilot study, focusing on recognizing and labelling emotions displayed by a humanoid robot. ZECA (Zeno Engaging Children with Autism) has a special skin covering its face which allows the display of facial expressions representing five emotions: joy, sadness, fear, anger, and surprise. These facial expressions were used in two different game scenarios, involving imitation and storytelling activities. The goal of these scenarios is to help the child acquire knowledge about different emotions and to improve their skill in recognizing them. The results show that these scenarios are appropriate for the goal established for this study, and positive behaviours concerning non-verbal communication were observed. This exploratory study demonstrated the possible positive outcomes this child-robot interaction can produce and highlighted the issues regarding data collection and their analysis that will inform future studies. © 2014 IEEE."
An approach to promote social and communication behaviors in children with autism spectrum disorders: Robot based intervention,2011,Proceedings - IEEE International Workshop on Robot and Human Interactive Communication,,,101-106,"Costa, S. and Soares, F. and Santos, C. and Ferreira, M.J. and Moreira, F. and Pereira, A.P. and Cunha, F.",,"Most autistic people present some difficulties in developing social behavior, living in their own world. This study has the goal to improve the social life of children with autism with a main focus in promoting their social interaction and communication. It is necessary to call for children's attention and enforce their collaboration, where a robot, LEGO MindStorm, behaves as a mediator/promoter of this interaction. A set of experiments designed to share objects and fulfill simple orders, by the 11 years old autistic child at the time of daily routine work and in-game with the robot, are described. The generalization of the acquired skills by the child in new contexts and environments are also tested. Results are described showing the outcomes of the experiments. © 2011 IEEE."
Robot-Enhanced CBT for dysfunctional emotions in social situations for children with ASD,2017,Journal of Evidence-Based Psychotherapies,17,2,119-132,"Costescu, C.A. and V and erborght, B. and David, D.O.",,"Background. Children with autism have considerable difficulties in identifying and conceptualizing thoughts and feelings, which affect their ability to manage emotions (Sofronoff, et al., 2007). Objectives. By using robot-enhanced therapy (RET) we have tried to: improve the strategies they use in different social situations; modify irrational beliefs (based on Albert Ellis' REBT/CBT model); teach them adaptive behaviors in social situations associated with anger and sadness and to reduce the intensity of negative emotions. Method. 27 children with a primary diagnosis primary diagnosis of ASD, aged 6-12 years, were randomly assigned to either RET (12 children) or treatment as usual (TAU) group (15 children). Children in the RET group participated in six 2-h weekly group sessions. Results. Children with ASD from RET group showed statistically significant more rational beliefs and they had a lower level of emotional responses intensity, after treatment compared with TAU group. We did not found any significant differences between the two groups regarding: social knowledge and adaptive behaviors. Our findings showed also important gains from preto post-treatment for children with ASD that participated in the RET group. Conclusion. Our results may have important clinical implications for improving standard CBT for reducing emotional distress in children with ASD. © 2017, The Editors."
"Beliefs, emotions, and behaviors – Differences between children with asd and typically developing children. A robot-enhanced task",2016,Journal of Evidence-Based Psychotherapies,16,2,221-237,"Costescu, C.A. and V and erborght, B. and David, D.O.",,"Autism spectrum disorder (ASD) is associated with amplified emotional responses and poor emotional control. However, little is known about the differences between typically developing (TD) children and children with ASD regarding the underlying mechanisms of dysfunctional emotions and maladaptive behaviors. We aimed to investigate whether if children with ASD will illustrate more irrational beliefs and therefore more dysfunctional emotions and maladaptive behaviors compared to TD children. In order to test our hypothesis we have used a robot-based task since previous studies have shown that children with ASD could benefit of the presence of a social robot in the task. 81 participants were included in this study, 40 TD children (M =5.4, SD = 0.4) and 41 children with ASD (M =8.4, SD = 2.2). In order to measure our outcomes we have used a mood induction task: false feedback technique. In children with ASD group we have identified significantly more irrational beliefs expressed during experimental task compared to TD children. 41.5% of children with ASD have presented dysfunctional emotions during the robot-assisted task compared to TD children who expressed only functional negative emotions. TD children exhibited significantly more adaptive behaviors compared with children with ASD, who 39% of them engaged in maladaptive behaviors. This study provides important information on irrational beliefs and their association with dysfunctional emotions and maladaptive beliefs adopted by children with ASD in comparison to TD children. Our findings could be valuable for future interventions that address emotional distress in persons with ASD. © 2016, ASCR Press. All rights reserved."
Reversal Learning Task in Children with Autism Spectrum Disorder: A Robot-Based Approach,2015,Journal of Autism and Developmental Disorders,45,11,3715-3725,"Costescu, C.A. and V and erborght, B. and David, D.O.",,"Children with autism spectrum disorder (ASD) engage in highly perseverative and inflexible behaviours. Technological tools, such as robots, received increased attention as social reinforces and/or assisting tools for improving the performance of children with ASD. The aim of our study is to investigate the role of the robotic toy Keepon in a cognitive flexibility task performed by children with ASD and typically developing (TD) children. The number of participants included in this study is 81 children: 40 TD children and 41 children with ASD. Each participant had to go through two conditions: robot interaction and human interaction in which they had performed the reversal learning task. Our primary outcomes are the number of errors from acquisition phase and from reversal phase of the task; as secondary outcomes we have measured attentional engagement and positive affect. The results of this study showed that children with ASD are more engaged in the task and they seem to enjoy more the task when interacting with the robot compared with the interaction with the adult. On the other hand their cognitive flexibility performance is, in general, similar in the robot and the human conditions with the exception of the learning phase where the robot can interfere with the performance. Implication for future research and practice are discussed. © 2014, Springer Science+Business Media New York."
Different gaze behavior in human-robot interaction in Asperger's syndrome: An eye-tracking study,2013,Proceedings - IEEE International Workshop on Robot and Human Interactive Communication,,,368-369,"Damm, O. and Malchus, K. and Jaecks, P. and Krach, S. and Paulus, F. and Naber, M. and Jansen, A. and Kamp-Becker, I. and Einhaeuser-Treyer, W. and Stenneken, P. and Wrede, B.",,"Social robots are often applied in recreational contexts to improve the experience of using technical systems, but they are also increasingly used for therapeutic purposes. In this study, we compared how patients with Autism Spectrum Disorder (ASD) interact with a social robot and a human actor. We examined the gaze behavior of nine ASD patients and 15 matched controls using a mobile eye-tracker. Participants performed a task in which they were required to follow the gaze of a robot or human actor. Our results show that ASD patients preferentially maintain eye contact during interaction with the social robot as compared to the human actor. © 2013 IEEE."
KASPAR - a minimally expressive humanoid robot for human-robot interaction research,2009,Applied Bionics and Biomechanics,6,3,369-397,"Dautenhahn, K. and Nehaniv, C.L. and Walters, M.L. and Robins, B. and Kose-Bagci, H. and Mirza, N.A. and Blow, M.",,"This paper provides a comprehensive introduction to the design of the minimally expressive robot KASPAR, which is particularly suitable for human-robot interaction studies. A low-cost design with off-the-shelf components has been used in a novel design inspired from a multi-disciplinary viewpoint, including comics design and Japanese Noh theatre. The design rationale of the robot and its technical features are described in detail. Three research studies will be presented that have been using KASPAR extensively. Firstly, we present its application in robot-assisted play and therapy for children with autism. Secondly, we illustrate its use in human-robot interaction studies investigating the role of interaction kinesics and gestures. Lastly, we describe a study in the field of developmental robotics into computational architectures based on interaction histories for robot ontogeny. The three areas differ in the way as to how the robot is being operated and its role in social interaction scenarios. Each will be introduced briefly and examples of the results will be presented. Reflections on the specific design features of KASPAR that were important in these studies and lessons learnt from these studies concerning the design of humanoid robots for social interaction will also be discussed. An assessment of the robot in terms of utility of the design for human-robot interaction experiments concludes the paper. © 2009 Taylor & Francis."
"Towards interactive robots in autism therapy: Background, motivation and challenges",2004,Pragmatics and Cognition,12,1,Jan-35,"Dautenhahn, K. and Werry, I.",,"This article discusses the potential of using interactive environments in autism therapy. We specifically address issues relevant to the Aurora project, which studies the possible role of autonomous, mobile robots as therapeutic tools for children with autism. Theories of mindreading, social cognition and imitation that informed the Aurora project are discussed and their relevance to the project is outlined. Our approach is put in the broader context of socially intelligent agents and interactive environments. We summarise results from trials with a particular mobile robot. Finally, we draw some comparisons to research on interactive virtual environments in the context of autism therapy and education. We conclude by discussing future directions and open issues. © 2004 John Benjamins Publishing Company."
Towards adaptive autonomous robots in autism therapy: Varieties of interactions,2003,"Proceedings of IEEE International Symposium on Computational Intelligence in Robotics and Automation, CIRA",2,,577-582,"Dautenhahn, K. and Werry, I. and Salter, T. and Te Boekhorst, R.",,"This paper reports results deriving from the Aurora project (www.aurora-project.com) where we have pioneered research into the possible use of robots in autism therapy. Autistic children have difficulties in social interaction, communication and fantasy and imagination. As part of the project we run trials where autistic children are playing with a small, non-humanoid mobile robot that can engage children in simple interaction games. In our project we focus on the behavioural, rather than the affective level of robots used in therapy, cf. [12]. In this paper we first discuss in more detail varieties of interactions where one child, or two children simultaneously, play with a robot. We then outline a new research direction in the project which studies how a mobile robot can adapt to individual children. Quantitative examples of activity levels in child-robot interactions are included. The paper concludes by outlining future research directions for adaptive robots in autism therapy. © 2003 IEEE."
Effects of a Robot-Enhanced Intervention for Children With ASD on Teaching Turn-Taking Skills,2020,Journal of Educational Computing Research,58,1,29-62,"David, D.O. and Costescu, C.A. and Matu, S. and Szentagotai, A. and Dobrean, A.",,"Among social skills that are core symptoms of autism spectrum disorder, turn-taking plays a fundamental role in regulating social interaction and communication. Our main focus in this study is to investigate the effectiveness of a robot-enhanced intervention on turn-taking abilities. We aim to identify to what degree social robots can improve turn-taking skills and whether this type of intervention provides similar or better gains than standard intervention. This study presents a series of 5 single-subject experiments with children with autism spectrum disorder aged between 3 and 5 years. Each child receives 20 intervention sessions (8 robot-enhanced sessions—robot-enhanced treatment (RET), 8 standard human sessions—standard human treatment, and 4 sessions with the intervention that was more efficient). Our findings show that most children reach similar levels of performance on turn-taking skills across standard human treatment and RET, meaning that children benefit to a similar extent from both interventions. However, in the RET condition, children seemed to see their robotic partner as being more interesting than their human partner, due to the fact that they looked more at the robotic partner compared with the human partner. © The Author(s) 2019."
Developing Joint Attention for Children with Autism in Robot-Enhanced Therapy,2018,International Journal of Social Robotics,10,5,595-605,"David, D.O. and Costescu, C.A. and Matu, S. and Szentagotai, A. and Dobrean, A.",,"Social difficulties is a core symptom of autism spectrum disorder (ASD). One of the main psychological factors supposed to underlie these difficulties is the lack or low levels of joint attention (JA) with the interaction partners. The use of a social robot in ASD interventions has received a lot of attention in the last years. The main objective of this research is to investigate if the JA performance of ASD children is dependent on the social cues that the robot uses in the therapy sessions. Three different types of social cues are adopted: gaze orientation, pointing and vocal instruction. Furthermore, our study aims also to investigate if the robot-enhanced treatment produces similar patterns in comparison with a standard human treatment. For testing our hypothesis, we have used a single case design involving five children with ASD who received 20 intervention sessions. The results pointed to a very consistent pattern across all types of sessions: using more cues for prompting JA increases the performance of the children. These findings emphasize the importance of using more cues, such as pointing, for increasing engagement and performance engagement in a child–robot interaction session. © 2018, Springer Science+Business Media B.V., part of Springer Nature."
Educational Robotics as a Motivational Tool for Students with ASD: A First Impression,2020,"2020 Latin American Robotics Symposium, 2020 Brazilian Symposium on Robotics and 2020 Workshop on Robotics in Education, LARS-SBR-WRE 2020",,,,"De Franca Monteiro, M. and Segovia Gonzalez, M.V. and Da Silva Burlamaqui, A.A.R.S. and Filgueira Burlamaqui, A.M.",,"This work is the result of a proposal for activities involving Educational Robotics (ER) for students aged between six and seven years, diagnosed with Autism Spectrum Disorder (ASD). The objective was to observe the positive impacts that the ER provides in terms of concentration, social interaction and compliance with rules. The methodology used was based on the Reference Curriculum in Technology and Computing, as well as on the National Common Curricular Base proposed by the Education Ministry of Education Culture of Brazil, being directed to the concepts of spatial orientation, recognition of the writing of the name and creation of stories. The results indicate that ER can be used as a motivational tool in order to promote the participation of students in activities in an engaged manner. © 2020 IEEE."
Self-initiations in young children with autism during Pivotal Response        Treatmen with and without robot assistance,2020,AUTISM,24,8,2117-2128,"De Korte, MWP and van den Berk-Smeekens, I and van Dongen-Boomsma, M and Oosterling, IJ and Den Boer, JC and Barakova, EI and Lourens, T and Buitelaar, JK and Glennon, JC and Staal, WG and De Korte, Manon W. P. and van den Berk-Smeekens, Iris and van Dongen-Boomsma, Martine and Oosterling, Iris J. and Den Boer, Jenny C. and Barakova, Emilia, I and Lourens, Tino and Buitelaar, Jan K. and Glennon, Jeffrey C. and Staal, Wouter G.",SAGE PUBLICATIONS LTD,"The aim of this study was to investigate the effect of Pivotal Response Treatment versus robot-assisted Pivotal Response Treatment on self-initiations of children with autism spectrum disorder and to explore the relation between self-initiations and collateral gains in general social-communicative skills. Forty-four participants with autism spectrum disorder aged 3-8 years (Pivotal Response Treatment: n= 20, Pivotal Response Treatment 1 robot: n= 24), who were recruited as part of a larger randomized controlled trial (number NL4487/NTR4712, https://www.trialregister.nl/ trial/4487), were included. Self-initiations were blindly coded, assessing video probes of all parent-child sessions using an event-recording system. General social-communicative skills were assessed with the parent- and teacher-rated Social Responsiveness Scale during intervention and at 3-month follow-up. Results using linear mixed-effects models showed overall gains in self-initiations during both Pivotal Response Treatment intervention groups (estimate = 0.43(0.15), 95% confidence interval (CI): 0.13-0.73), with larger gains in functional self-initiations in children receiving robot-assisted Pivotal Response Treatment (estimate = -0.27(0.12), 95% confidence interval: -0.50 to -0.04). Growth in self-initiations was related to higher parent-rated social awareness at follow-up compared with baseline in the total sample (r= -0.44, p=0.011). The clinical implications of these findings, as well as directions for future research in the utility of Pivotal Response Treatment and robot assistance in autism spectrum disorder intervention, are discussed."
Therapeutic-assisted robot for children with autism,2009,"2009 IEEE/RSJ International Conference on Intelligent Robots and Systems, IROS 2009",,,3561-3567,"De Silva, P.R.S. and Tadano, K. and Saito, A. and Lambacher, S.G. and Higashi, M.",,"In this paper, we propose a therapeutic-assisted robot for children with autism to ameliorate their skill of joint attention. The robot conducts a goal-directed based interaction to establish engagement between the child and robot in order to establish a beneficial learning environment for autistic children. An unsupervised Mixture Gaussian-based cluster method is proposed to detect the child's intention in real time to process the goal-directed task smoothly. The novelty of this approach is that does not require the use of any training data or a trained model to detect the child's intention. Our autonomous robotic system is tested with several autistic children at a School for the Disabled in Nagoya, Japan. The results of the initial interaction showed that the children enjoyed interaction with and feedback from the robot, which confirmed that the robot can be used as mediator or an object of joint attention. The unsupervised approach was able to detect the children's intention at every time segment to process the goal-directed task with a higher accuracy rate. The results of the goal-directed task showed that the proposed interaction was highly effective in enhancing their joint attention. Since most of the children attempted to imitate the robot's gestural behaviors and used a variety of learning patterns to attend to the robot's fingered object in the environment to obtain joint attention with robot. © 2009 IEEE."
The development of an assistive robot for improving the joint attention of autistic children,2009,"2009 IEEE International Conference on Rehabilitation Robotics, ICORR 2009",,,694-700,"De Silva, P.R.S. and Tadano, K. and Saito, A. and Lambacher, S.G. and Higashi, M.",,"In this paper, an assistive robot is proposed for children with autism to enhance their joint attention, the main focus of which is an interactive scenario with potential modalities to establish a learning environment for children with autism. In order to implement the above interactive scenario, the robot has to detect a child's intention at every time segment. For this purpose, a novel attention detection algorithm is proposed which is based on a Mixture Gaussian based unsupervised-clustering. A unique aspect of the proposed approach is does not require the use of any training data or models to detect a child' intention. Indeed, our algorithm is capable of detecting a child's intention when that child has a complex eye gaze pattern. These features are essential in the development of a robotic system for children with autism. The system was tested with autistic children who were attending a School for the Disabled. The results were quite impressive, revealing that the children were indeed attracted to the robot and had engaged in interactions with it for a lengthy period of time. Overall, the results showed that the children's joint attention skills improved when the number of interactive trials with them was processed. In addition, taking into account its joint attention performance with the children, the robot was able to change the interactive scenarios autonomously. The proposed unsupervised model was capable of detecting a child's intention at every time segment with a recognition rate of over 75%. ©2009 IEEE."
"The Design, Development, and Deployment of RoboParrot for Screening Autistic Children",2015,International Journal of Social Robotics,7,4,513-522,"Dehkordi, P.S. and Moradi, H. and Mahmoudi, M. and Pouretemad, H.R.",,"Recent research shows that Human Robot Interaction (HRI) can play an important role in the screening and therapy of many disorders, and suggests broad range of applications for children with developmental disorders. This paper presents the design, development, and application of a parrot-like robot as a screening tool to diagnose autistic children. The interactions of several autistic children with the robot have been observed and compared to the interaction of a group of normal children with the robot to determine the important behavioral features separating the autistic children from the normal ones. Based on these observations, we developed a descriptive research methodology to specify important and discriminating features for screening autism using behavioral aspects in social interaction, communication, and stereotyped and repetitive behaviors. Our experiments show that there are significant differences between autistic and normal children pertaining to their communication with the robot, repetitive behaviors and sustaining attention. The results show the effectiveness of using robots in screening developmental disorders such as autism, highlighting the importance of Robot Assisted Screening (RAS) or intelligent toys in this field. We have determined 6 features extracted from the children’s behavior, and Random Forest method is used to distinguish between the autistic and normal children. The system has been tested on 51 children, 35 autistic and 16 normal, with maximum 90 % correct classification rate. © 2015, Springer Science+Business Media Dordrecht."
Using a Humanoid Robot as a Complement to Interventions for Children with Autism Spectrum Disorder: a Pilot Study,2018,Advances in Neurodevelopmental Disorders,2,3,273-285,"Desideri, L. and Negrini, M. and Malavasi, M. and Tanzini, D. and Rouame, A. and Cutrone, M.C. and Bonifacci, P. and Hoogerwerf, E.-J.",,"Emerging evidence documents that social robots may increase motivation in children with autism spectrum disorder (ASD) when participating in educational activities. This study reports on the results of a pilot test conducted in a public child and adolescent mental health service (CAMHS) aimed at exploring whether a social robot could increase engagement and learning achievement in two 9-year-old male children with ASD with accompanying intellectual disability, language and communication impairments, and low adaptive skills. Using an ABA1 single-case design, children participated in educational sessions targeting developmental and social skills (e.g., motor imitation, expressive/receptive language, spontaneous requests). The results indicated that interacting with a social robot enhanced engagement (d = 0.78) and goal achievement in one case (d = 2.19), and only goal achievement in the second case (d = 2). The results from the present investigation are discussed in light of their implications for the design of a more robust translational research protocol aimed at assessing the effectiveness of robot-based ASD intervention scenarios. © 2018, Springer International Publishing AG, part of Springer Nature."
Improving Executive Functions at School in Children With Special Needs        by Educational Robotics,2020,FRONTIERS IN PSYCHOLOGY,10,,,"Di Lieto, MC and Castro, E and Pecini, C and Inguaggiato, E and Cecchi, F and Dario, P and Cioni, G and Sg and urra, G and Di Lieto, Maria Chiara and Castro, Emanuela and Pecini, Chiara and Inguaggiato, Emanuela and Cecchi, Francesca and Dario, Paolo and Cioni, Giovanni and Sg and urra, Giuseppina",FRONTIERS MEDIA SA,"Children with Special Needs represent a highly heterogeneous group in terms of neurofunctional, behavioral, and socio-cognitive characteristics, but they have in common a frequent impairment of Executive Functions. Educational Robotics is generally dedicated to study the effects of constructing and programming robots based on children's learning and academic achievement. Recently, we found that being engaged in progressively more challenging robot planning and monitoring (ER-Lab) promotes visual-spatial working memory and response inhibition in early childhood during typical development, and that an ER-Lab can be a feasible rehabilitative tool for children with Special Needs. The present study aimed to verify the efficacy of the ER-Lab on Executive Functions in children with Special Needs for the first time by using an RCT within their school environment. To pursue these aims, this study reports the results obtained in 42 first-grade children with Special Needs engaged in school Educational Robotics Laboratories (ER-Lab) to promote Executive Functions by means of enjoyable, intensive, and incrementally more challenging activities requiring them to program a bee-shaped robot called Bee-bot (R) (Campus Store). Several adaptations were done to meet different motor, cognitive, and social needs. All children were evaluated by means of standardized tests performed by each child before and at the end of the ER-Lab activities. Children with Special Needs had significantly improved inhibition skills, and children with attentional impairment had more benefits in their inhibition of motor responses tasks with respect to children with a language deficit. Results of the study and future perspectives on how ER-Lab programs could become a powerful tool in classrooms with children with special needs are discussed."
An explorative study on robotics for supporting children with autism spectrum disorder during clinical procedures,2020,ACM/IEEE International Conference on Human-Robot Interaction,,,189-191,"DI Nuovo, A. and Bamforth, J. and Conti, D. and Sage, K. and Ibbotson, R. and Clegg, J. and Westaway, A. and Arnold, K.",,"This short report presents a small-scale explorative study about children with Autism Spectrum Disorder (ASD) interaction with robots during clinical interactions. This is part of an ongoing project, which aims at defining a robotic service for supporting children with developmental disabilities and increase the efficiency of routine procedures that may create distress, e.g. having blood taken or an orthopaedic plaster cast applied. Five children with confirmed diagnoses of ASD interacted with two social robots: the small humanoid NAO and the pet-like MiRo. The encounters mixed play activities with a simulated clinical procedure. We included parents/carers in the interaction to ensure the child was comfortable and at ease. The results of video analysis and parents' feedback confirm possible benefits of the physical presence of robots to reduce children's anxiety and increase compliance with instructions. Parents/carers convincingly support the introduction of robots in hospital procedures to their help children. © 2020 ACM."
Interactive tracking for robot-assisted autism therapy,2017,ACM/IEEE International Conference on Human-Robot Interaction,,,107-108,"Dickstein-Fischer, L.A. and Pereira, R.H. and G and omi, K.Y. and Fathima, A.T. and Fischer, G.S.",,"Autism therapy is often associated with enormous financial cost. Robotic technology is promising for autism applications for its affordability, multimodal interaction, and being able to provide repeatable, standardized stimulus while quantitatively recording and monitoring performance. A robot integrated into the therapy session enhances the ability to collect relevant data such as attention, affect, gaze direction, and gestures in addition to conventional measures. The PABI is a penguin-like humanoid robot built for guiding Applied Behavioral Analysis (ABA) therapy; it was developed from the ground up for this application taking into account the psychological underpinnings. Through facial expressions, body motion, verbal cues, vision-based tracking, and a tablet computer, the robot interacts meaningfully with an autistic child. The system has been piloted with five children with Autism Spectrum Disorder (ASD). © 2017 Authors."
Designing a system of interactive robots for training collaborative skills to autistic children,2012,"2012 15th International Conference on Interactive Collaborative Learning, ICL 2012",,,,"Dimitrova, M. and Vegt, N. and Barakova, E.",,"Using robots to reward and stimulate children doing tasks together can be helpful in improving their social skills. Robots implemented 3 types of behavior scenarios - imitate, enhance and counteract - in a collaborative game of teaching robots perform movements shown by hand gestures. The paper presents a novel account of ASD symptoms based on the interplay of empathic concern and empathic accuracy in different personalities with and without cognitive deficits. Performance of autistic children was compared with two age groups of typically developing children - under and above the age of 7. The study confirmed the limited resource hypothesis - cognitive and motivational - bringing about the observed phenomena in situations of limited attention resources and performance under distraction. The robotic framework for educating children has shown potential for developing of various complex cognitive and social skills and has substantial developmental impact. © 2012 IEEE."
Exploring the use of a mobile robot as an imitation agent with children with low-functioning autism,2008,Autonomous Robots,24,2,147-157,"Duquette, A. and Michaud, F. and Mercier, H.",,"Unpredictability and complexity of social interactions are important challenges for a low functioning autistic child. The objective of this research is to study how a mobile robot can, by appearing more predictable, appealing and simple than a human being, facilitate reciprocal interaction such as imitative play. By conducting an exploratory study involving four children, we found that forms of shared conventions such as imitation of body movements and of familiar actions are higher with two children paired with a human mediator, compared to two children paired with a robot mediator. However, the two children paired with the robot mediator demonstrated increased shared attention (visual contact, physical proximity) and imitate facial expressions (smile) more than the children paired with the human mediator. © 2007 Springer Science+Business Media, LLC."
Teleoperation interface usage in robot-assisted childhood ASD therapy,2021,ACM/IEEE International Conference on Human-Robot Interaction,,,162-166,"Elbeleidy, S. and Shick, A. and Williams, T.",,"Therapist-operated robots can play a uniquely impactful role in helping children with Autism Spectrum Disorder (ASD) practice and acquire social skills. While extensive research within Human Robot Interaction has focused on teleoperation interfaces for robots in general, little work has been done on teleoperation interface design for robots in the context of ASD therapy. Moreover, while clinical research has shown the positive impact robots can have on children with Autism, much of that research has been performed in a controlled environment, with little understanding of the way these robots are used ""in the wild"". We analyze archival data of therapists teleoperating robots as part of their regular therapy sessions, to (1) determine common themes and difficulties in therapists' use of teleoperation interfaces, and (2) provide design recommendations to improve therapists' overall experience. We believe that following these recommendations will help maximize the effectiveness of ASD therapy with Socially Assistive Robots and the scale at which it can be deployed. © 2021 ACM."
Gesture recognition for humanoid assisted interactive sign language tutoring,2013,ACHI 2013 - 6th International Conference on Advances in Computer-Human Interactions,,,135-140,"Ertuǧrul, B.S. and Gurpinar, C. and Kivrak, H. and Kulaglic, A. and Kose, H.",,"This work is part of an ongoing work for sign language tutoring with imitation based turn-taking and interaction games (iSign) with humanoid robots and children with communication impairments. The paper focuses on the extension of the game, mainly for children with autism. Autism Spectrum Disorder (ASD) involves communication impairments, limited social interaction, and limited imagination. Many such children show interest in robots and find them engaging. Robots can facilitate social interaction between the child and teacher. In this work, a Nao H25 Humanoid robot assisted the human teacher to teach some signs and basic upper torso actions which were observed and imitated by the participants. Kinect camera based system was used to recognize the signs and other actions, and the robot gave visual and audial feedback to the participants based on the performance. © Copyright IARIA, 2013."
Contribution to the study of assisted interactions between an autistic child and a therapist by the way of a mobile robot in a play situation,2011,Assistive Technology Research Series,29,,497-507,"Etche Ogeli, R. and Pradel, G. and Malen, J.P.",,"Objective: the project ""RobAutisTIC"", works is conducted to evaluate the potential of a multimodal mobile robot to improve interactions and to study the child's social-communicative behaviours in this situation. The robot is used in a fun way to encourage interactive behaviours between the child and the therapist. We consider that child-therapist interactions are far more important than the child-robot interactions. The protocol we set up does not favour direct control of the robot by the child but only allows this control by the therapist. So, if the child wants to play with the robot, he/she must pass through a request to the therapist. The protocol uses 3 phases to i) demonstrate the robot's abilities, ii) show that the therapist may play with the robot, iii) encourage the triadic play. Main content: After a short introduction on autistic spectrum disorders, this paper quickly presents 5 projects involving robotics and autism followed by a brief section on the RobAutisTIC project. The main part focuses on the protocol, the behavioural coding, the experiments conducted with children and analyses a peculiar case and shows the facilitating action of the robot in the interpersonal interaction. Result: Most children are interested in the play and motivated. The main behaviour toward the robot is visual attention accompanied by other behaviours such as verbal/non verbal language sent to the robot. Conclusion: We cannot tell that this is the case for children who do not have a good level of verbalization; neither generalizes this analysis to all children involved in the experiments with the robot. Our future goal is to perform this analysis on several children with 3 experiments per child. This analysis will enable us, we hope, to demonstrate the possibilities offered by using a multimodal mobile robot in the interactions with an autistic child. In the longer term, we plan to quantify these interactions and to make the robot's behaviour adaptive. © 2011 The authors and IOS Press. All rights reserved."
Τhe effectiveness of socially assistive robotics in children with autism spectrum disorder.,2018,International journal of developmental disabilities,66,2,113-121,Fachantidis N and Syriopoulou-Delli CK and Zygopoulou M,,"Aim: The current study investigates the outcomes of the interaction between four elementary school pupils with autism spectrum disorders and a robot called Daisy. Method: During structured and prepeared activities which were conducted by the social robot, as well as by a human partner. Results: Results indicate positive outcomes during the interaction with the robot. Specifically, there were more incidences of eye contact, proximity and verbal interaction during sessions with the robot than during those with the teacher. Additional behaviors such as increased attention and ability to follow instructions improved during interaction with the robot. There was also a noted reduction in fidgeting."
Beneficial effects of robot-mediated class activities on a child with ASD and his typical classmates,2020,International Journal of Developmental Disabilities,66,3,245-253,"Fachantidis, N. and Syriopoulou-Delli, C.K. and Vezyrtzis, I. and Zygopoulou, M.",,"Objective: The current educational intervention investigates how the use of the educational robot as an assistive tool can aid young children with Autism Spectrum Disorder helping them strengthen relationships and improving their interaction with typically developing children. Method: For this purpose an interdisciplinary road safety program was implemented involving the construction, programming and operation of a 3D LEGO robot bicycle model. Results: The results showed that the use of educational robotics appeared to bring about a change in the indifferent attitude of the typically developing students towards the students with ASD. In addition in contributed to the development of the social, communicational and emotionsl skills of the child with ASD and lead to a reduction in his challenging behaviors. © 2019, © 2019 The British Society of Developmental Disabilities."
